system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
CLOSE COOLING SYSTEM #1,SWBP #1A,OPC.AW1002.1NAI.AI173804.PNT,0.0,36,0
CLOSE COOLING SYSTEM #1,CCWP #1A,OPC.AW1002.1NAI.AI173805.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,AOP DC #1,OPC.AW1002.1OAI.AI191306.PNT,0.0,0,36
LUBRICATION SUPPLY SYSTEM #1,AOP AC #1,OPC.AW1002.1OAI.AI191307.PNT,0.0,0,36
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1OAI.AI192503.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1OAI.AI192504.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1OAI.AI192505.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1OAI.AI192506.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,MOT #1,OPC.AW1002.1OAI.AI192507.PNT,0.0,36,0
FEEDWATER SYSTEM #1,M-BFP #1 ,OPC.AW1002.1OAI.AI193501.PNT,0.0,36,36
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1OAI.AI193502.PNT,0.0,36,36
CONDENSATE SYSTEM #1,GLAND STEAM CONDENSER #1,OPC.AW1002.1PAI.AI202108.PNT,0.0,0,36
GENERATOR SYSTEM #1,GENERATOR STATOR COOLING #1B,OPC.AW1002.1PAI.AI202202.PNT,0.0,0,36
GENERATOR SYSTEM #1,GENERATOR SEAL OIL #1 - AIR SIDE PUMP B,OPC.AW1002.1PAI.AI202203.PNT,0.0,0,36
GENERATOR SYSTEM #1,GENERATOR SEAL OIL #1 - AIR SIDE DC EMERGENCY PUMP,OPC.AW1002.1PAI.AI202204.PNT,0.0,0,36
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1PAI.AI202503.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1PAI.AI202504.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1PAI.AI202505.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1PAI.AI202506.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,JACKING OIL B #1,OPC.AW1002.1PAI.AI202803.PNT,0.0,0,36
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1PAI.AI203601.PNT,0.0,36,36
BOILER & FURNACE SYSTEM #1,REHEATER #1,OPC.AW1002.1PMS.RSFLOW.RO02,0.0,36,0
CONDENSATE SYSTEM #1,CEP #1A,OPC.AW1002.1QAI.AI210101.PNT,0.0,36,0
CONDENSATE SYSTEM #1,GLAND STEAM CONDENSER #1,OPC.AW1002.1QAI.AI210103.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.8 #1,OPC.AW1002.1QAI.AI210104.PNT,2.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.7 #1,OPC.AW1002.1QAI.AI210105.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.6 #1,OPC.AW1002.1QAI.AI210106.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.5 #1,OPC.AW1002.1QAI.AI210107.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI210202.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI210203.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI210301.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI210302.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,OIL COOLER #1,OPC.AW1002.1QAI.AI210405.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI210406.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,OIL COOLER #1,OPC.AW1002.1QAI.AI210504.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI210603.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI210604.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI210703.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI210707.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI210803.PNT,0.0,36,0
TURBINE BEARING #1,THRUST BEARING TURBIN #1,OPC.AW1002.1QAI.AI210804.PNT,0.0,36,0
TURBINE BEARING #1,THRUST BEARING TURBIN #1,OPC.AW1002.1QAI.AI210805.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211103.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211104.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211105.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI211106.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211203.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211204.PNT,0.0,36,0
TURBINE #1,LP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI211205.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI211206.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI211307.PNT,0.0,36,0
