system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL101,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL102,0.0,10,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL103,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL104,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP101A,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP102,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP102A,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAJ30BN001XQ01,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAJ31BN001XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL TANK,KALTIM1.SIGNAL.AI.10MAU12CL101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL TANK,KALTIM1.SIGNAL.AI.10MAU12CL102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP103,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 HP OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP002XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 AC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP003XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 DC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP004XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 HP OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 AC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 DC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP103,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP A,KALTIM1.SIGNAL.AI.10MAU40AP001XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP B,KALTIM1.SIGNAL.AI.10MAU40AP002XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP A,KALTIM1.SIGNAL.AI.10MAU40CP101,0.0,12,12
